TYPENAME,,4LayeredAssembly,,Assembly,,,,,,
PRESET,,"2Layer0D --> Roll --> PlasticAdhesive
1Material --> Synthetic and Polymer --> Plastic
0RawMaterial
Plastic
0Color --> Abstract
6B6B6B-Gray6
0SrfTreatment
Standard
0DimThk
0.09375inT-2Layer0D --> Roll --> Cork
1Material --> Fibrous --> Cork
0RawMaterial
Cork
0Color --> Abstract
FFFFFF-White
0SrfTreatment
Standard
0DimThk
0.125inT-2Layer0D --> Roll --> PlasticUnderlayment
1Material --> Synthetic and Polymer --> Plastic
0RawMaterial
Plastic
0Color --> Abstract
6B6B6B-Gray6
0SrfTreatment
Standard
0DimThk
0.09375inT-2Layer0D --> Sitework --> Soil
1Material --> Fibrous --> Wood Strands
0RawMaterial
Wood Strands
0Color --> Abstract
FFFFFF-White
0SrfTreatment
Standard
0DimThk
3inT",,4LayeredAssembly --> Roof,,4LayeredAssembly-38,,"2Layer0D --> Roll --> PlasticAdhesive
1Material --> Synthetic and Polymer --> Plastic
0RawMaterial
Plastic
0Color --> Abstract
6B6B6B-Gray6
0SrfTreatment
Standard
0DimThk
0.09375inT",,
PRESET,,,,,,,,"2Layer0D --> Roll --> Cork
1Material --> Fibrous --> Cork
0RawMaterial
Cork
0Color --> Abstract
FFFFFF-White
0SrfTreatment
Standard
0DimThk
0.125inT",,
PRESET,,,,,,,,"2Layer0D --> Roll --> PlasticUnderlayment
1Material --> Synthetic and Polymer --> Plastic
0RawMaterial
Plastic
0Color --> Abstract
6B6B6B-Gray6
0SrfTreatment
Standard
0DimThk
0.09375inT",,
PRESET,,,,,,,,"2Layer0D --> Sitework --> Soil
1Material --> Fibrous --> Wood Strands
0RawMaterial
Wood Strands
0Color --> Abstract
FFFFFF-White
0SrfTreatment
Standard
0DimThk
3inT",,
PRESET,,"2Layer0D --> Mass --> CrossLaminatedTimber
1Material --> Wood --> Spruce-Pine-Fir
0RawMaterial
Spruce-Pine-Fir
0Color --> Abstract
FFFFFF-White
0SrfTreatment
Unfinished
0DimThk
5.5inT-2Layer0D --> Mass --> CrossLaminatedTimber
1Material --> Wood --> Spruce-Pine-Fir
0RawMaterial
Spruce-Pine-Fir
0Color --> Abstract
FFFFFF-White
0SrfTreatment
Unfinished
0DimThk
9.625inT",,4LayeredAssembly --> Roof,,4LayeredAssembly-42,,"2Layer0D --> Mass --> CrossLaminatedTimber
1Material --> Wood --> Spruce-Pine-Fir
0RawMaterial
Spruce-Pine-Fir
0Color --> Abstract
FFFFFF-White
0SrfTreatment
Unfinished
0DimThk
5.5inT",,
PRESET,,,,,,,,"2Layer0D --> Mass --> CrossLaminatedTimber
1Material --> Wood --> Spruce-Pine-Fir
0RawMaterial
Spruce-Pine-Fir
0Color --> Abstract
FFFFFF-White
0SrfTreatment
Unfinished
0DimThk
9.625inT",,
PRESET,,"2Layer0D --> Sitework --> Grass
1Material --> Fibrous --> Wood Particles
0RawMaterial
Wood Particles
0Color --> Abstract
FFFFFF-White
0SrfTreatment
Standard
0DimThk
12inT-2Layer0D --> Membrane --> PVC
1Material --> Synthetic and Polymer --> Plastic
0RawMaterial
Plastic
0Color --> Abstract
6B6B6B-Gray6
0SrfTreatment
Standard
0DimThk
0.0625inT-2Layer0D --> Sitework --> Grass
1Material --> Fibrous --> Wood Particles
0RawMaterial
Wood Particles
0Color --> Abstract
FFFFFF-White
0SrfTreatment
Standard
0DimThk
8inT-2Layer0D --> Void --> Air
1Material --> Glass and Transparent --> Air
0RawMaterial
Air
0Color --> Glass and Transparent --> Air
FFFFFF-Clear
0SrfTreatment
Standard
0DimThk
1.5inT",,4LayeredAssembly --> Roof,,4LayeredAssembly-44,,"2Layer0D --> Sitework --> Grass
1Material --> Fibrous --> Wood Particles
0RawMaterial
Wood Particles
0Color --> Abstract
FFFFFF-White
0SrfTreatment
Standard
0DimThk
12inT",,
PRESET,,,,,,,,"2Layer0D --> Membrane --> PVC
1Material --> Synthetic and Polymer --> Plastic
0RawMaterial
Plastic
0Color --> Abstract
6B6B6B-Gray6
0SrfTreatment
Standard
0DimThk
0.0625inT",,
PRESET,,,,,,,,"2Layer0D --> Sitework --> Grass
1Material --> Fibrous --> Wood Particles
0RawMaterial
Wood Particles
0Color --> Abstract
FFFFFF-White
0SrfTreatment
Standard
0DimThk
8inT",,
PRESET,,,,,,,,"2Layer0D --> Void --> Air
1Material --> Glass and Transparent --> Air
0RawMaterial
Air
0Color --> Glass and Transparent --> Air
FFFFFF-Clear
0SrfTreatment
Standard
0DimThk
1.5inT",,
