TYPENAME,,0DimWDWtFt,,Dimension,,,,,,,,,,,,,,,,,,,,,,,,
,,Definition,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PropertyType,,PropertyName,,PropertyScope.Value,,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,STRING,,Name,,Dimension.ColloquialName,,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,DIMENSION,,Width,,Dimension.Width,,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,DIMENSION,,Depth,,Dimension.Depth,,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,DIMENSION,,Web Thickness,,Dimension.WebThickness,,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,DIMENSION,,Flange Thickness,,Dimension.FlangeThickness,,,,,,,,,,,,,,,,,,,,,,
,,Presets,,,,,,,,,,,,,,,,,,,,,,,,,,
TAGPATHS,DataType=ID,ID,DataType=TG_MyNode+CategoryPath,TG_MyNode+CategoryPath,DataType=Properties,Dimension.ColloquialName,Dimension.Width,Dimension.Depth,Dimension.WebThickness,Dimension.FlangeThickness,DataType=TG_Parent Node+CategoryPath,TG_ParentNode+CategoryPath,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-32W-15.3D-1.85Wt-1.02Ft,,0DimWDWtFt --> WideFlangeSteel,,W30X292,32,15.3,1.85,1.02,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-31.6W-15.2D-1.65Wt-0.93Ft,,0DimWDWtFt --> WideFlangeSteel,,W30X261,31.6,15.2,1.65,0.93,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-31.3W-15.1D-1.5Wt-0.83Ft,,0DimWDWtFt --> WideFlangeSteel,,W30X235,31.3,15.1,1.5,0.83,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-30.9W-15.1D-1.32Wt-0.775Ft,,0DimWDWtFt --> WideFlangeSteel,,W30X211,30.9,15.1,1.32,0.775,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-30.7W-15D-1.19Wt-0.71Ft,,0DimWDWtFt --> WideFlangeSteel,,W30X191,30.7,15,1.19,0.71,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-30.4W-15D-1.07Wt-0.655Ft,,0DimWDWtFt --> WideFlangeSteel,,W30X173,30.4,15,1.07,0.655,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-30.7W-10.5D-1.18Wt-0.65Ft,,0DimWDWtFt --> WideFlangeSteel,,W30X148,30.7,10.5,1.18,0.65,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-30.3W-10.5D-1Wt-0.615Ft,,0DimWDWtFt --> WideFlangeSteel,,W30X132,30.3,10.5,1,0.615,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-30.2W-10.5D-0.93Wt-0.585Ft,,0DimWDWtFt --> WideFlangeSteel,,W30X124,30.2,10.5,0.93,0.585,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt --> WideFlangeSteel-30W-10.5D-0.85Wt-0.565Ft,,0DimWDWtFt --> WideFlangeSteel,,W30X116,30,10.5,0.85,0.565,,2ExtrudedProfile --> Beam/Column --> SteelW,,,,,,,,,,,,,,,,
