TYPENAME,,PartNonMesh,,Module,,,,,,,,,,,,,,,,,,,,,,,,
,,Definition,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PropertyType,,PropertyName,,PropertyScope.Value,,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,DisplayText,,Name,,Module.Name,,,,,,,,,,,,,,,,,,,,,,
,,InputExtensibility,,InputPreset,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildMaterial,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildDimension,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildDimWD,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildDimLW,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildDimThk,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildDimLWH,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildProfile,,,,,,,,,,,,,,,,,,,,,,,,
,,Presets,,,,,,,,,,,,,,,,,,,,,,,,,,
TAGPATHS,DataType=ID,ID,DataType=TG_MyNode+CategoryPath,TG_MyNode+CategoryPath,DataType=Properties,Module.Name,DataType=Dimensions,Dimension,Value,UI Group,DataType=Profile,Module.Profile,DataType=Material,AppliesToChannel,InnerMaterial,SurfaceMaterial,ColorTintVariation,ColorTint,DataType=InputPins,ChildMaterial,ChildDimension,ChildDimWD,ChildDimLW,ChildDimThk,ChildDimLWH,ChildProfile,DataType=TG_Parent Node+CategoryPath,TG_ParentNode+CategoryPath
,,Assembly_Layer-Thickness-20in-Finish1-0RawMaterial-Concrete (Normal Aggregate)---D6D7D8,,Assembly_Layer,,"20in, Concrete (Normal Aggregate), Natural",,Thickness,20in,Major,,,,Finish1,0RawMaterial-Concrete (Normal Aggregate),-,0,D6D7D8,,1Material_Aggregates_Concrete-0RawMaterial-Concrete (Normal Aggregate)-0Color_Aggregates_Concrete-D6D7D8-Natural,,,,0DimThk-20inT,,,,
,,,,,,,,IconLength,64in,Preview,,,,,,,,,,,,,,,,,,
,,,,,,,,IconHeight,48in,Preview,,,,,,,,,,,,,,,,,,
,,Assembly_Layer-Thickness-6in-Finish1-0RawMaterial-Concrete (Normal Aggregate)---D6D7D8,,Assembly_Layer,,"6in, Concrete (Normal Aggregate), Natural",,Thickness,6in,Major,,,,Finish1,0RawMaterial-Concrete (Normal Aggregate),-,0,D6D7D8,,1Material_Aggregates_Concrete-0RawMaterial-Concrete (Normal Aggregate)-0Color_Aggregates_Concrete-D6D7D8-Natural,,,,0DimThk-6inT,,,,
,,,,,,,,IconLength,64in,Preview,,,,,,,,,,,,,,,,,,
,,,,,,,,IconHeight,48in,Preview,,,,,,,,,,,,,,,,,,
,,Assembly_Layer-Thickness-4.125in-Finish1-0RawMaterial-Spruce-Pine-Fir---FFFFFF,,Assembly_Layer,,"4-1/8in, Spruce-Pine-Fir, Natural",,Thickness,4.125in,Major,,,,Finish1,0RawMaterial-Spruce-Pine-Fir,-,0,FFFFFF,,1Material_Wood_Spruce-Pine-Fir-0RawMaterial-Spruce-Pine-Fir-0Color_Wood_Spruce-Pine-Fir-FFFFFF-Natural,,,,0DimThk-4.125inT,,,,
,,,,,,,,IconLength,64in,Preview,,,,,,,,,,,,,,,,,,
,,,,,,,,IconHeight,48in,Preview,,,,,,,,,,,,,,,,,,
,,Assembly_Layer-Thickness-30cm-Finish1-0RawMaterial-Rammed Earth---FFFFFF,,Assembly_Layer,,"30cm, Rammed Earth, White",,Thickness,30cm,Major,,,,Finish1,0RawMaterial-Rammed Earth,-,0,FFFFFF,,1Material_Aggregates_Rammed Earth-0RawMaterial-Rammed Earth-0Color_Abstract-FFFFFF-White,,,,0DimThk-30cmT,,,,
,,,,,,,,IconLength,64in,Preview,,,,,,,,,,,,,,,,,,
,,,,,,,,IconHeight,48in,Preview,,,,,,,,,,,,,,,,,,
,,Assembly_Layer-Thickness-1in-Finish1-0RawMaterial-Terrazzo (Beige)---FFFFFF,,Assembly_Layer,,"1in, Terrazzo (Beige), White",,Thickness,1in,Major,,,,Finish1,0RawMaterial-Terrazzo (Beige),-,0,FFFFFF,,1Material_Aggregates_Terrazzo-0RawMaterial-Terrazzo (Beige)-0Color_Abstract-FFFFFF-White,,,,0DimThk-1inT,,,,
,,,,,,,,IconLength,64in,Preview,,,,,,,,,,,,,,,,,,
,,,,,,,,IconHeight,48in,Preview,,,,,,,,,,,,,,,,,,
,,Assembly_Layer-Thickness-1.25in-Finish1-0RawMaterial-Granite (Black 1)---FFFFFF,,Assembly_Layer,,"1-1/4in, Granite (Black 1), White",,Thickness,1.25in,Major,,,,Finish1,0RawMaterial-Granite (Black 1),-,0,FFFFFF,,1Material_Stone_Granite-0RawMaterial-Granite (Black 1)-0Color_Abstract-FFFFFF-White,,,,0DimThk-1.25inT,,,,
,,,,,,,,IconLength,64in,Preview,,,,,,,,,,,,,,,,,,
,,,,,,,,IconHeight,48in,Preview,,,,,,,,,,,,,,,,,,
