TYPENAME,,0DimThk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,0DimThk,,"0DimThk
1.5inT",,1-1/2in,1.5in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,X,,,,,X,,,,,,,,,,,,,,,,,,
PRESET,,0DimThk,,"0DimThk
1.5625inT",,1-9/16in,1.5625in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,0DimThk,,"0DimThk
2inT",,2in,2in,,,,,,,,,,,,,,,,,,,,,,,X,,,X,X,X,,,,,,X,,,X,X,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,0DimThk,,"0DimThk
2.375inT",,2-3/8in,2.375in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,0DimThk,,"0DimThk
2.5inT",,2-1/2in,2.5in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,0DimThk,,"0DimThk
3inT",,3in,3in,,,X,X,,,,,,,,,,,,,,,,,,,X,,,X,X,X,,,,,,X,,,X,X,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,0DimThk,,"0DimThk
3.125inT",,3-1/8in,3.125in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,0DimThk,,"0DimThk
3.5inT",,3-1/2in,3.5in,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,0DimThk,,"0DimThk
3.935inT",,3-15/16in,3.935in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,0DimThk,,"0DimThk
4inT",,4in,4in,,,,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,0DimThk,,"0DimThk
4.125inT",,4-1/8in,4.125in,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,0DimThk,,"0DimThk
4.75inT",,4-3/4in,4.75in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,0DimThk,,"0DimThk
5inT",,5in,5in,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,0DimThk,,"0DimThk
5.5inT",,5-1/2in,5.5in,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,0DimThk,,"0DimThk
6inT",,6in,6in,,,X,X,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,0DimThk,,"0DimThk
6.3125inT",,6-5/16in,6.3125in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,0DimThk,,"0DimThk
6.875inT",,6-7/8in,6.875in,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,0DimThk,,"0DimThk
7.0625inT",,7-1/6in,7.0625in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,0DimThk,,"0DimThk
7.5inT",,7-1/2in,7.5in,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,0DimThk,,"0DimThk
7.875inT",,7-7/8in,7.875in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,0DimThk,,"0DimThk
8inT",,8in,8in,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,0DimThk,,"0DimThk
9.5inT",,9-1/2in,9.5in,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,0DimThk,,"0DimThk
9.625inT",,9-5/8in,9.625in,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,0DimThk,,"0DimThk
10inT",,10in,10in,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,0DimThk,,"0DimThk
12inT",,12in,12in,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,0DimThk,,"0DimThk
12.375inT",,12-3/8in,12.375in,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,0DimThk,,"0DimThk
14inT",,14in,14in,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,0DimThk,,"0DimThk
16inT",,16in,16in,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,0DimThk,,"0DimThk
18inT",,18in,18in,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,0DimThk,,"0DimThk
20inT",,20in,20in,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,0DimThk,,"0DimThk
22inT",,22in,22in,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,0DimThk,,"0DimThk
24inT",,24in,24in,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,0DimThk,,"0DimThk
2mmT",,2mm,2mm,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,0DimThk,,"0DimThk
3mmT",,3mm,3mm,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,0DimThk,,"0DimThk
5mmT",,5mm,5mm,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,0DimThk,,"0DimThk
15cmT",,15cm,15cm,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,0DimThk,,"0DimThk
30cmT",,30cm,30cm,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,0DimThk,,"0DimThk
40cmT",,40cm,40cm,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,0DimThk,,"0DimThk
50cmT",,50cm,50cm,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,0DimThk,,"0DimThk
60cmT",,60cm,60cm,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
