TYPENAME,,Part_ExtrudedProfile,,Assembly,,,,,,,,,,
PRESET,,"Part_ExtrudedProfile_Stringer
1Material_Metal_Tin-0RawMaterial-Tin-0Color_Metal_Aluminum-FFFFFF-PureWhite
0DimWDT_HSS-3inW-7inD-0.465inT
0Profile-Hollow Structural Section, HSS",,Part_ExtrudedProfile_Stringer,,Stringer,48in,"(""IconLength"",48)",,X,,1Material_Metal_Tin-0RawMaterial-Tin-0Color_Metal_Aluminum-FFFFFF-PureWhite,0DimWDT_HSS-3inW-7inD-0.465inT,"0Profile-Hollow Structural Section, HSS"
PRESET,,"Part_ExtrudedProfile_Trim_FloorMoulding
1Material_Spread_Paint-0RawMaterial-Paint-0Color_Spread_Paint-F3F1ED-GentleWhite
0DimWD-3.5inW-.625inD
0Profile-Colonial Base, 3 1/2""",,Part_ExtrudedProfile_Trim_FloorMoulding,,"Colonial Base, 3 1/2"", Paint, Gentle White",48in,"(""IconLength"",48)",,X,,1Material_Spread_Paint-0RawMaterial-Paint-0Color_Spread_Paint-F3F1ED-GentleWhite,0DimWD-3.5inW-.625inD,"0Profile-Colonial Base, 3 1/2"""
PRESET,,"Part_ExtrudedProfile_Trim_FloorMoulding
1Material_Spread_Paint-0RawMaterial-Paint-0Color_Spread_Paint-C4C4C4-Grey
0DimWD-5.25inW-.625inD
0Profile-Colonial Base, 5 1/4""",,Part_ExtrudedProfile_Trim_FloorMoulding,,"Colonial Base, 5 1/4"", Paint, Grey",48in,"(""IconLength"",48)",,X,,1Material_Spread_Paint-0RawMaterial-Paint-0Color_Spread_Paint-C4C4C4-Grey,0DimWD-5.25inW-.625inD,"0Profile-Colonial Base, 5 1/4"""
PRESET,,"Part_ExtrudedProfile_Trim_FloorMoulding
1Material_Spread_Paint-0RawMaterial-Paint-0Color_Spread_Paint-F3F1ED-GentleWhite
0DimWD-4inW-.625inD
0Profile-Cove, 4""",,Part_ExtrudedProfile_Trim_FloorMoulding,,"Cove, 4"", Paint, Gentle White",48in,"(""IconLength"",48)",,X,,1Material_Spread_Paint-0RawMaterial-Paint-0Color_Spread_Paint-F3F1ED-GentleWhite,0DimWD-4inW-.625inD,"0Profile-Cove, 4"""
PRESET,,"Part_ExtrudedProfile_Trim_FloorMoulding
1Material_Spread_Paint-0RawMaterial-Paint-0Color_Spread_Paint-C4C4C4-Grey
0DimWD-6inW-.625inD
0Profile-Cove, 6""",,Part_ExtrudedProfile_Trim_FloorMoulding,,"Cove, 6"", Paint, Grey",48in,"(""IconLength"",48)",,X,,1Material_Spread_Paint-0RawMaterial-Paint-0Color_Spread_Paint-C4C4C4-Grey,0DimWD-6inW-.625inD,"0Profile-Cove, 6"""
PRESET,,"Part_ExtrudedProfile_Trim_FloorMoulding
1Material_Spread_Paint-0RawMaterial-Paint-0Color_Spread_Paint-F3F1ED-GentleWhite
0DimWD-5.25inW-.5625inD
0Profile-Victorian, 5 1/4""",,Part_ExtrudedProfile_Trim_FloorMoulding,,"Victorian, 5 1/4"", Paint, Gentle White",48in,"(""IconLength"",48)",,X,,1Material_Spread_Paint-0RawMaterial-Paint-0Color_Spread_Paint-F3F1ED-GentleWhite,0DimWD-5.25inW-.5625inD,"0Profile-Victorian, 5 1/4"""
PRESET,,"Part_ExtrudedProfile_Trim_FloorMoulding
1Material_Spread_Paint-0RawMaterial-Paint-0Color_Spread_Paint-C4C4C4-Grey
0DimWD-6.375inW-.75inD
0Profile-Victorian, 6 1/2""",,Part_ExtrudedProfile_Trim_FloorMoulding,,"Victorian, 6 1/2"", Paint, Grey",48in,"(""IconLength"",48)",,X,,1Material_Spread_Paint-0RawMaterial-Paint-0Color_Spread_Paint-C4C4C4-Grey,0DimWD-6.375inW-.75inD,"0Profile-Victorian, 6 1/2"""
PRESET,,"Part_ExtrudedProfile_Trim_FloorMoulding
1Material_Spread_Paint-0RawMaterial-Paint-0Color_Spread_Paint-F3F1ED-GentleWhite
0DimWD-3.5inW-1inD
0Profile-Rectangle, 3 1/2"" x 1""",,Part_ExtrudedProfile_Trim_FloorMoulding,,"Rectangle, 3 1/2"" x 1"", Paint, Gentle White",48in,"(""IconLength"",48)",,X,,1Material_Spread_Paint-0RawMaterial-Paint-0Color_Spread_Paint-F3F1ED-GentleWhite,0DimWD-3.5inW-1inD,"0Profile-Rectangle, 3 1/2"" x 1"""
PRESET,,"Part_ExtrudedProfile_Trim_FloorMoulding
1Material_Spread_Paint-0RawMaterial-Paint-0Color_Spread_Paint-C4C4C4-Grey
0DimWD-1inW-1inD
0Profile-Rectangle, 1"" x 1""",,Part_ExtrudedProfile_Trim_FloorMoulding,,"Rectangle, 1"" x 1"", Paint, Grey",48in,"(""IconLength"",48)",,X,,1Material_Spread_Paint-0RawMaterial-Paint-0Color_Spread_Paint-C4C4C4-Grey,0DimWD-1inW-1inD,"0Profile-Rectangle, 1"" x 1"""
PRESET,,"Part_ExtrudedProfile_Trim_FloorMoulding
1Material_Spread_Paint-0RawMaterial-Paint-0Color_Spread_Paint-F3F1ED-GentleWhite
0DimWD-1.5inW-1.5inD
0Profile-Rectangle, 1 1/2"" x 1 1/2""",,Part_ExtrudedProfile_Trim_FloorMoulding,,"Rectangle, 1 1/2"" x 1 1/2"", Paint, Gentle White",48in,"(""IconLength"",48)",,X,,1Material_Spread_Paint-0RawMaterial-Paint-0Color_Spread_Paint-F3F1ED-GentleWhite,0DimWD-1.5inW-1.5inD,"0Profile-Rectangle, 1 1/2"" x 1 1/2"""
PRESET,,"Part_ExtrudedProfile_Trim_FloorMoulding
1Material_Spread_Paint-0RawMaterial-Paint-0Color_Spread_Paint-C4C4C4-Grey
0DimWD-3inW-1inD
0Profile-Windsor, 3""",,Part_ExtrudedProfile_Trim_FloorMoulding,,"Windsor, 3"", Paint, Grey",48in,"(""IconLength"",48)",,X,,1Material_Spread_Paint-0RawMaterial-Paint-0Color_Spread_Paint-C4C4C4-Grey,0DimWD-3inW-1inD,"0Profile-Windsor, 3"""
PRESET,,"Part_ExtrudedProfile_Trim_FloorMoulding
1Material_Spread_Paint-0RawMaterial-Paint-0Color_Spread_Paint-F3F1ED-GentleWhite
0DimWD-3.3125inW-3.25inD
0Profile-Crown 1",,Part_ExtrudedProfile_Trim_FloorMoulding,,"Crown 1, Paint, Gentle White",48in,"(""IconLength"",48)",,X,,1Material_Spread_Paint-0RawMaterial-Paint-0Color_Spread_Paint-F3F1ED-GentleWhite,0DimWD-3.3125inW-3.25inD,0Profile-Crown 1
