TYPENAME,,2ModuleLWT,,Module,,,,,,,,,,,,,,,,,
,,Definition,,,,,,,,,,,,,,,,,,,
,,PropertyType,,PropertyName,,PropertyScope.Value,,,,,,,,,,,,,,,
PROPERTY,,DisplayText,,Name,,Module.Name,,,,,,,,,,,,,,,
PROPERTY,,Dimension,,Length,,Module.Length,,,,,,,,,,,,,,,
PROPERTY,,Dimension,,Width,,Module.Width,,,,,,,,,,,,,,,
PROPERTY,,Dimension,,Thickness,,Module.Thickness,,,,,,,,,,,,,,,
PROPERTY,,Dimension,,Bevel Width,,Module.BevelWidth,,,,,,,,,,,,,,,
PROPERTY,,PresetID,,Inner Material,,Module.InnerMaterial,,,,,,,,,,,,,,,
PROPERTY,,PresetID,,Surface Material,,Module.SurfaceMaterial,,,,,,,,,,,,,,,
PROPERTY,,HexValue,,Color Tint,,Module.ColorTint,,,,,,,,,,,,,,,
,,InputExtensibility,,InputPreset,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildMaterial,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildDimLW,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildDimThk,,,,,,,,,,,,,,,,,
,,Presets,,,,,,,,,,,,,,,,,,,
TAGPATHS,DataType=ID,ID,DataType=TG_MyNode+CategoryPath,TG_MyNode+CategoryPath,DataType=Properties,Module.Name,Module.Length,Module.Width,Module.Thickness,Module.BevelWidth,Module.InnerMaterial,Module.SurfaceMaterial,Module.ColorTint,DataType=InputPins,ChildMaterial,ChildDimLW,ChildDimThk,DataType=TG_MyNode+CategoryPath,TG_ParentNode+CategoryPath,,
PRESET,,"Plank --> Wood
1Material --> Wood --> Bamboo-0RawMaterial-Bamboo-0Color --> Wood --> Bamboo-FFFFFF-Natural
0DimLW-48in-5in
0DimThk-0.375inT",,Plank --> Wood,,"5in x 48in, 3/8in, Wood, Bamboo, Natural",48in,5in,0.375in,0.125in,0RawMaterial-Bamboo,-,FFFFFF,,1Material --> Wood --> Bamboo-0RawMaterial-Bamboo-0Color --> Wood --> Bamboo-FFFFFF-Natural,0DimLW-48in-5in,0DimThk-0.375inT,,3Layer2D,,
PRESET,,"Plank --> Wood
1Material --> Wood --> Birch-0RawMaterial-Birch (Yellow)-0Color --> Wood --> Birch-FFFFFF-Natural
0DimLW-48in-7in
0DimThk-0.375inT",,Plank --> Wood,,"7in x 48in, 3/8in, Wood, Birch (Yellow), Natural",48in,7in,0.375in,0.125in,0RawMaterial-Birch (Yellow),-,FFFFFF,,1Material --> Wood --> Birch-0RawMaterial-Birch (Yellow)-0Color --> Wood --> Birch-FFFFFF-Natural,0DimLW-48in-7in,0DimThk-0.375inT,,3Layer2D,,
PRESET,,"Plank --> Wood
1Material --> Wood --> Cedar - White-0RawMaterial-Cedar (White)-0Color --> Wood --> Cedar - White-2B2B2B-Black
0DimLW-72in-7in
0DimThk-0.375inT",,Plank --> Wood,,"7in x 72in, 3/8in, Wood, Cedar (White), Black",72in,7in,0.375in,0.125in,0RawMaterial-Cedar (White),-,FFFFFF,,1Material --> Wood --> Cedar - White-0RawMaterial-Cedar (White)-0Color --> Wood --> Cedar - White-2B2B2B-Black,0DimLW-72in-7in,0DimThk-0.375inT,,3Layer2D,,
PRESET,,"Plank --> Wood
1Material --> Wood --> Mahogany-0RawMaterial-Mahogany-0Color --> Wood --> Mahogany-FFFFFF-Natural
0DimLW-48in-7in
0DimThk-0.5inT",,Plank --> Wood,,"7in x 48in, 1/2in, Wood, Mahogany, Natural",48in,7in,0.5in,0.125in,0RawMaterial-Mahogany,-,FFFFFF,,1Material --> Wood --> Mahogany-0RawMaterial-Mahogany-0Color --> Wood --> Mahogany-FFFFFF-Natural,0DimLW-48in-7in,0DimThk-0.5inT,,3Layer2D,,
PRESET,,"Plank --> Wood
1Material --> Wood --> Oak - White-0RawMaterial-Oak (White)-0Color --> Wood --> Oak - White-FFFFFF-Natural
0DimLW-48in-3in
0DimThk-0.75inT",,Plank --> Wood,,"3in x 48in, 3/4in, Wood, Oak (White), Natural",48in,3in,0.75in,0.125in,0RawMaterial-Oak (White),-,FFFFFF,,1Material --> Wood --> Oak - White-0RawMaterial-Oak (White)-0Color --> Wood --> Oak - White-FFFFFF-Natural,0DimLW-48in-3in,0DimThk-0.75inT,,3Layer2D,,
PRESET,,"Plank --> Wood
1Material --> Wood --> Walnut-0RawMaterial-Walnut-0Color --> Wood --> Walnut-FFFFFF-Natural
0DimLW-72in-7in
0DimThk-0.75inT",,Plank --> Wood,,"7in x 72in, 3/4in, Wood, Walnut, Natural",72in,7in,0.75in,0.125in,0RawMaterial-Walnut,-,FFFFFF,,1Material --> Wood --> Walnut-0RawMaterial-Walnut-0Color --> Wood --> Walnut-FFFFFF-Natural,0DimLW-72in-7in,0DimThk-0.75inT,,3Layer2D,,
PRESET,,"Tile --> Acoustic Ceiling Tile
1Material --> Fibrous --> Mineral Fiber-0RawMaterial-Mineral Fiber-0Color --> Fibrous --> Mineral Fiber-FFFFFF-Natural
0DimLW-24in-24in
0DimThk-1inT",,Tile --> Acoustic Ceiling Tile,,"24in x 24in, 1in, Acoustic Ceiling Tile, Mineral Fiber, Natural",24in,24in,1in,0.125in,0RawMaterial-Mineral Fiber,-,FFFFFF,,1Material --> Fibrous --> Mineral Fiber-0RawMaterial-Mineral Fiber-0Color --> Fibrous --> Mineral Fiber-FFFFFF-Natural,0DimLW-24in-24in,0DimThk-1inT,,3Layer2D,,
PRESET,,"Tile --> Brick Veneer
1Material --> Ceramic --> Clay-0RawMaterial-Clay-0Color --> Ceramic --> Clay-A05633-Natural
0DimLW-7.625in-2.29167in
0DimThk-0.5inT",,Tile --> Brick Veneer,,"8in Modular, 1/2in, Brick Veneer, Clay, Natural",7.625in,2.29167in,0.5in,0.125in,0RawMaterial-Clay,-,A05633,,1Material --> Ceramic --> Clay-0RawMaterial-Clay-0Color --> Ceramic --> Clay-A05633-Natural,0DimLW-7.625in-2.29167in,0DimThk-0.5inT,,3Layer2D,,
PRESET,,"Tile --> Brick Veneer
1Material --> Ceramic --> Clay-0RawMaterial-Clay-0Color --> Ceramic --> Clay-5A4E47-Driftwood
0DimLW-11.625in-2.75in
0DimThk-0.5inT",,Tile --> Brick Veneer,,"Tall Norman, 1/2in, Brick Veneer, Clay, Driftwood",11.625in,2.75in,0.5in,0.125in,0RawMaterial-Clay,-,5A4E47,,1Material --> Ceramic --> Clay-0RawMaterial-Clay-0Color --> Ceramic --> Clay-5A4E47-Driftwood,0DimLW-11.625in-2.75in,0DimThk-0.5inT,,3Layer2D,,
PRESET,,"Tile --> Carpet
1Material --> Fabric and Upholstery --> Carpet-0RawMaterial-Carpet (Low Profile)-0Color --> Fabric and Upholstery --> Carpet-E9EAE6-White
0DimLW-32in-16in
0DimThk-0.5inT",,Tile --> Carpet,,"16in x 32in, 1/2in, Carpet, Carpet (Low Profile), White",32in,16in,0.5in,0in,0RawMaterial-Carpet (Low Profile),-,E9EAE6,,1Material --> Fabric and Upholstery --> Carpet-0RawMaterial-Carpet (Low Profile)-0Color --> Fabric and Upholstery --> Carpet-E9EAE6-White,0DimLW-32in-16in,0DimThk-0.5inT,,3Layer2D,,
