TYPENAME,,AssemblyTemp,,Assembly,,,,,,,,,,,,,,,,,
,,Definition,,,,,,,,,,,,,,,,,,,
,,PropertyType,,PropertyName,,PropertyScope.Value,,,,,,,,,,,,,,,
PROPERTY,,DisplayText,,Name,,Assembly.Name,,,,,,,,,,,,,,,
,,Presets,,,,,,,,,,,,,,,,,,,
TAGPATHS,DataType=GUID,GUID,DataType=ID,ID,DataType=MyCategoryPath,TG_MyNode+CategoryPath,DataType=Properties,Assembly.Name,DataType=StartsInProject,x,DataType=Dimensions,Dimension,Value,DataType=Profile,Module.Profile,DataType=Material,AppliesToChannel,InnerMaterial,SurfaceMaterial,ColorTintVariation,ColorTint
PRESET,,E92A6047-9181-5647-807E-694BDD38456B,,Part_1FlexDim2Fixed_ExtrudedProfile_BeamColumn_Wood Rectangular-Width-.75in-Depth-1.5in-0Profile-Plate Section-Finish1-0RawMaterial-Oak (White)-FFFFFF,,Part_1FlexDim2Fixed_ExtrudedProfile_BeamColumn_Wood Rectangular,,1x2 Typical,,X,,Width,.75in,,0Profile-Plate Section,,Finish1,0RawMaterial-Oak (White),,0.05,FFFFFF
PRESET,,,,,,,,,,,,Depth,1.5in,,,,,,,,
PRESET,,,,,,,,,,,,IconLength,48in,,,,,,,,
PRESET,,E4181B7B-A288-D641-BF05-893194ECA49C,,Part_1FlexDim2Fixed_ExtrudedProfile_BeamColumn_Wood Rectangular-Width-1.5in-Depth-3.5in-0Profile-Plate Section-Finish1-0RawMaterial-Oak (White)-FFFFFF,,Part_1FlexDim2Fixed_ExtrudedProfile_BeamColumn_Wood Rectangular,,2x4 Typical,,X,,Width,1.5in,,0Profile-Plate Section,,Finish1,0RawMaterial-Oak (White),,0.05,FFFFFF
PRESET,,,,,,,,,,,,Depth,3.5in,,,,,,,,
PRESET,,,,,,,,,,,,IconLength,48in,,,,,,,,
PRESET,,AD258967-F663-794E-AEAA-30AE26B75BB3,,Part_1FlexDim2Fixed_ExtrudedProfile_BeamColumn_Wood Rectangular-Width-1.5in-Depth-7.25in-0Profile-Plate Section-Finish1-0RawMaterial-Oak (White)-FFFFFF,,Part_1FlexDim2Fixed_ExtrudedProfile_BeamColumn_Wood Rectangular,,2x8 Typical,,X,,Width,1.5in,,0Profile-Plate Section,,Finish1,0RawMaterial-Oak (White),,0.05,FFFFFF
PRESET,,,,,,,,,,,,Depth,7.25in,,,,,,,,
PRESET,,,,,,,,,,,,IconLength,48in,,,,,,,,
PRESET,,E573AE9D-E46A-7548-B528-34568E57673E,,Part_1FlexDim2Fixed_ExtrudedProfile_BeamColumn_Wood Rectangular-Width-8in-Depth-8in-0Profile-Plate Section-Finish1-0RawMaterial-Oak (White)-FFFFFF,,Part_1FlexDim2Fixed_ExtrudedProfile_BeamColumn_Wood Rectangular,,"8in x 8in, Oak (White), Natural",,X,,Width,8in,,0Profile-Plate Section,,Finish1,0RawMaterial-Oak (White),,0.05,FFFFFF
PRESET,,,,,,,,,,,,Depth,8in,,,,,,,,
PRESET,,,,,,,,,,,,IconLength,48in,,,,,,,,
PRESET,,A05B76A2-9F14-E84F-B0D9-BB7A0AA345B8,,Part_1FlexDim2Fixed_ExtrudedProfile_BeamColumn_Wood Round-Diameter-8in-0Profile-Tube Steel-Finish1-0RawMaterial-Cedar (Western Red)-FFFFFF,,Part_1FlexDim2Fixed_ExtrudedProfile_BeamColumn_Wood Round,,"8in, Cedar (White), Natural",,X,,Diameter,8in,,0Profile-Tube Steel,,Finish1,0RawMaterial-Cedar (Western Red),,0.05,FFFFFF
PRESET,,,,,,,,,,,,IconLength,48in,,,,,,,,
PRESET,,A711414B-77BE-FA43-B136-6CA0EC85A3B4,,Part_1FlexDim2Fixed_ExtrudedProfile_BeamColumn_Wood Round-Diameter-12in-0Profile-Tube Steel-Finish1-0RawMaterial-Oak (Red)-FFFFFF,,Part_1FlexDim2Fixed_ExtrudedProfile_BeamColumn_Wood Round,,"12in, Oak (Red), Natural",,X,,Diameter,12in,,0Profile-Tube Steel,,Finish1,0RawMaterial-Oak (Red),,0.05,FFFFFF
PRESET,,,,,,,,,,,,IconLength,48in,,,,,,,,
PRESET,,F00ADCB6-6647-544D-BCFA-BA226638753E,,"Part_1FlexDim2Fixed_ExtrudedProfile_BeamColumn_Wood Rectangular-Width-0.625in-Depth-5.5in-0Profile-Colonial Base, 5 1/4""-Finish1-0RawMaterial-Paint-C4C4C4",,Part_1FlexDim2Fixed_ExtrudedProfile_BeamColumn_Wood Rectangular,,"5.25in x .625in, Colonial Base",,X,,Width,0.625in,,"0Profile-Colonial Base, 5 1/4""",,Finish1,0RawMaterial-Paint,,0,C4C4C4
PRESET,,,,,,,,,,,,Depth,5.5in,,,,,,,,
PRESET,,,,,,,,,,,,IconLength,48in,,,,,,,,
PRESET,,3ABF8B73-31C5-EF41-9314-4BD9FE4286B8,,Part_1FlexDim2Fixed_ExtrudedProfile_BeamColumn_Wood Rectangular-Width-3.25in-Depth-3.3125in-0Profile-Crown 1-Finish1-0RawMaterial-Paint-F3F1ED,,Part_1FlexDim2Fixed_ExtrudedProfile_BeamColumn_Wood Rectangular,,"Crown Mouding, 3.3125in x 3.25in, Paint, Gentle White",,X,,Width,3.25in,,0Profile-Crown 1,,Finish1,0RawMaterial-Paint,,0,F3F1ED
PRESET,,,,,,,,,,,,Depth,3.3125in,,,,,,,,
PRESET,,,,,,,,,,,,IconLength,48in,,,,,,,,
