TYPENAME,,Assembly_2FlexDims1Fixed_Serrated_Stair,,Assembly,,,,,,,,,,,,
PRESET,,,,,,,,,,IconRun,66in,,,,,
PRESET,,,,,,,,,,IconWidth,48in,,,,,
PRESET,,EAA7F0BE-3E4E-9A4B-9120-715063FE2777,,"Assembly_2FlexDims1Fixed_Serrated_Stair
Assembly_2FlexDims1Fixed_PlanarGroup_Tread
Assembly_2FlexDims1Fixed_PlanarPattern
Part_0FlexDims3Fixed_ModulePlanar_Plank_Wood-Length-72in-Width-7in-Thickness-0.75in-BevelWidth-0.125in-Finish1-0RawMaterial-Walnut-FFFFFF
0LayerPattern_2D-Running Bond
Part_1FlexDim2Fixed_Gap2D-Width-0.25in-Recess-0.0625in-Finish1-0RawMaterial-Mortar-C6C6C6
4C6CBC5D-0B3A-6D4E-AD62-6C21ECB39F4B
Assembly_2FlexDims1Fixed_PlanarPattern
Part_0FlexDims3Fixed_ModulePlanar_Board/Panel_Plywood-Length-96in-Width-48in-Thickness-0.46875in-BevelWidth-0.125in-Finish1-0RawMaterial-Plywood-FFFFFF
0LayerPattern_2D-Running Bond
Part_1FlexDim2Fixed_Gap2D-Width-0in-Recess-0in-Finish1-0RawMaterial-Air-FFFFFF
8AAAFBBF-8CB7-0D46-9BFB-AD57AEB08BAE
C6ED0EA0-7014-3942-AA17-4EA838FDA773",,Assembly_2FlexDims1Fixed_Serrated_Stair,,Walnut Open Tread Stair,,TreadDepthIdeal,11in,,X,,"Assembly_2FlexDims1Fixed_PlanarGroup_Tread
Assembly_2FlexDims1Fixed_PlanarPattern
Part_0FlexDims3Fixed_ModulePlanar_Plank_Wood-Length-72in-Width-7in-Thickness-0.75in-BevelWidth-0.125in-Finish1-0RawMaterial-Walnut-FFFFFF
0LayerPattern_2D-Running Bond
Part_1FlexDim2Fixed_Gap2D-Width-0.25in-Recess-0.0625in-Finish1-0RawMaterial-Mortar-C6C6C6
4C6CBC5D-0B3A-6D4E-AD62-6C21ECB39F4B
Assembly_2FlexDims1Fixed_PlanarPattern
Part_0FlexDims3Fixed_ModulePlanar_Board/Panel_Plywood-Length-96in-Width-48in-Thickness-0.46875in-BevelWidth-0.125in-Finish1-0RawMaterial-Plywood-FFFFFF
0LayerPattern_2D-Running Bond
Part_1FlexDim2Fixed_Gap2D-Width-0in-Recess-0in-Finish1-0RawMaterial-Air-FFFFFF
8AAAFBBF-8CB7-0D46-9BFB-AD57AEB08BAE
C6ED0EA0-7014-3942-AA17-4EA838FDA773",
PRESET,,,,,,,,,,IconRise,36in,,,,,
PRESET,,,,,,,,,,IconRun,66in,,,,,
PRESET,,,,,,,,,,IconWidth,48in,,,,,
PRESET,,0B38C5E4-A3AE-CA42-91B4-D5865A173329,,"Assembly_2FlexDims1Fixed_Serrated_Stair
Assembly_2FlexDims1Fixed_PlanarGroup_Tread
Assembly_2FlexDims1Fixed_PlanarPattern-Thickness-1in-Finish1-0RawMaterial-Glass-D6DAD8-93AFFBB9-4672-8C41-AA2D-80CB58D68CA4
1725A092-FA98-3642-84D2-20B8C7204812",,Assembly_2FlexDims1Fixed_Serrated_Stair,,Glass Open Tread Stair,,TreadDepthIdeal,11in,,X,,"Assembly_2FlexDims1Fixed_PlanarGroup_Tread
Assembly_2FlexDims1Fixed_PlanarPattern-Thickness-1in-Finish1-0RawMaterial-Glass-D6DAD8-93AFFBB9-4672-8C41-AA2D-80CB58D68CA4
1725A092-FA98-3642-84D2-20B8C7204812",
PRESET,,,,,,,,,,IconRise,36in,,,,,
PRESET,,,,,,,,,,IconRun,66in,,,,,
PRESET,,,,,,,,,,IconWidth,48in,,,,,
