TYPENAME,,Layer0DTemp,,Layer,,,,,,,,,,,,,,,,,,,
,,Definition,,,,,,,,,,,,,,,,,,,,,
,,PropertyType,,PropertyName,,PropertyScope.Value,,,,,,,,,,,,,,,,,
PROPERTY,,DisplayText,,Name,,Layer.Name,,,,,,,,,,,,,,,,,
,,Presets,,,,,,,,,,,,,,,,,,,,,
TAGPATHS,DataType=GUID,GUID,DataType=ID,ID,DataType=MyCategoryPath,TG_MyNode+CategoryPath,DataType=Properties,Layer.Name,DataType=Dimensions,Dimension,Value,DataType=MiterPriority,Function,Priority,DataType=Material,AppliesToChannel,InnerMaterial,SurfaceMaterial,ColorTintVariation,ColorTint,DataType=ConstructionCost,MaterialCostRate,LaborCostRate
PRESET,,7AF713D3-4E62-114A-BDE4-B27385F1605D,,Assembly_2FlexDims1Fixed_Layer0D-Thickness-0.0625in-Finish1-0RawMaterial-Plastic-6B6B6B-7AF713D3-4E62-114A-BDE4-B27385F1605D,,Assembly_2FlexDims1Fixed_Layer0D,,"1/16in, Plastic, Gray 6",,Thickness,0.0625in,,Membrane,1,,Finish1,0RawMaterial-Plastic,,,6B6B6B,,,
PRESET,,6D14F4AC-60E7-7D4C-AB88-4A7AFC4A3051,,Assembly_2FlexDims1Fixed_Layer0D-Thickness-0.03125in-Finish1-0RawMaterial-Gypsum-D6D7D1-6D14F4AC-60E7-7D4C-AB88-4A7AFC4A3051,,Assembly_2FlexDims1Fixed_Layer0D,,"1/32in, Gypsum, Natural",,Thickness,0.03125in,,Substrate,20,,Finish1,0RawMaterial-Gypsum,,,D6D7D1,,,
PRESET,,2156FDFF-17D9-3246-AE15-879536B35663,,Assembly_2FlexDims1Fixed_Layer0D-Thickness-2in-Finish1-0RawMaterial-Gravel-FFFFFF-2156FDFF-17D9-3246-AE15-879536B35663,,Assembly_2FlexDims1Fixed_Layer0D,,"2in, Gravel, White",,Thickness,2in,,Substrate,30,,Finish1,0RawMaterial-Gravel,,,FFFFFF,,,
PRESET,,A8B735E4-538E-BE49-9FD6-2EB6120EF794,,Assembly_2FlexDims1Fixed_Layer0D-Thickness-3in-Finish1-0RawMaterial-Gravel-FFFFFF-A8B735E4-538E-BE49-9FD6-2EB6120EF794,,Assembly_2FlexDims1Fixed_Layer0D,,"3in, Gravel, White",,Thickness,3in,,Substrate,30,,Finish1,0RawMaterial-Gravel,,,FFFFFF,,,
PRESET,,CD5E4669-0472-4747-B514-1AC5CEC261EC,,Assembly_2FlexDims1Fixed_Layer0D-Thickness-3in-Finish1-0RawMaterial-Grass-FFFFFF-CD5E4669-0472-4747-B514-1AC5CEC261EC,,Assembly_2FlexDims1Fixed_Layer0D,,"3in, Grass, White",,Thickness,3in,,Other,1,,Finish1,0RawMaterial-Grass,,,FFFFFF,,,
PRESET,,75134162-CAFA-B349-9236-59E1BE73C3E8,,Assembly_2FlexDims1Fixed_Layer0D-Thickness-2in-Finish1-0RawMaterial-Decomposed Granite-CCCCCC-75134162-CAFA-B349-9236-59E1BE73C3E8,,Assembly_2FlexDims1Fixed_Layer0D,,"2in, Decomposed Granite, Light Gray",,Thickness,2in,,Substrate,30,,Finish1,0RawMaterial-Decomposed Granite,,,CCCCCC,,,
PRESET,,3FAF4BD5-0C19-6746-BD71-8175142FDDE2,,Assembly_2FlexDims1Fixed_Layer0D-Thickness-3in-Finish1-0RawMaterial-Sand-FFFFFF-3FAF4BD5-0C19-6746-BD71-8175142FDDE2,,Assembly_2FlexDims1Fixed_Layer0D,,"3in, Sand, White",,Thickness,3in,,Substrate,30,,Finish1,0RawMaterial-Sand,,,FFFFFF,,,
PRESET,,7C9BA2A6-543B-E045-9522-734C3FEFE1B5,,Assembly_2FlexDims1Fixed_Layer0D-Thickness-6in-Finish1-0RawMaterial-Soil-FFFFFF-7C9BA2A6-543B-E045-9522-734C3FEFE1B5,,Assembly_2FlexDims1Fixed_Layer0D,,"6in, Soil, White",,Thickness,6in,,Substrate,30,,Finish1,0RawMaterial-Soil,,,FFFFFF,,,
PRESET,,25485882-5FE6-734C-B351-96B8C6C040DC,,Assembly_2FlexDims1Fixed_Layer0D-Thickness-12in-Finish1-0RawMaterial-Asphalt-6B6758-25485882-5FE6-734C-B351-96B8C6C040DC,,Assembly_2FlexDims1Fixed_Layer0D,,"12in, Asphalt, Olive",,Thickness,12in,,Structure,40,,Finish1,0RawMaterial-Asphalt,,,6B6758,,,
PRESET,,48467EEA-7428-604F-A83C-5F9E264C33F9,,Assembly_2FlexDims1Fixed_Layer0D-Thickness-0.375in-Finish1-0RawMaterial-Plaster-F7EBDB-48467EEA-7428-604F-A83C-5F9E264C33F9,,Assembly_2FlexDims1Fixed_Layer0D,,"3/8in, Plaster, Shell",,Thickness,0.375in,,Finish,1,,Finish1,0RawMaterial-Plaster,,,F7EBDB,,,
PRESET,,93586BD5-DE8C-0D48-BD67-ACD87150F0BC,,Assembly_2FlexDims1Fixed_Layer0D-Thickness-0.03125in-Finish1-0RawMaterial-Joint Compound-D6D7D1-93586BD5-DE8C-0D48-BD67-ACD87150F0BC,,Assembly_2FlexDims1Fixed_Layer0D,,"1/32in, Joint Compound, Natural",,Thickness,0.03125in,,Substrate,30,,Finish1,0RawMaterial-Joint Compound,,,D6D7D1,,,
PRESET,,672BB2A2-EE65-264B-AFD6-F753EF54F68D,,Assembly_2FlexDims1Fixed_Layer0D-Thickness-0.02in-Finish1-0RawMaterial-Paint-F3F1ED-672BB2A2-EE65-264B-AFD6-F753EF54F68D,,Assembly_2FlexDims1Fixed_Layer0D,,"Typical Coat (1/50in), Paint, Gentle White",,Thickness,0.02in,,Finish,1,,Finish1,0RawMaterial-Paint,,,F3F1ED,,,
PRESET,,7A7092AE-CDF8-D346-96A2-D792230A4B4E,,Assembly_2FlexDims1Fixed_Layer0D-Thickness-0.02in-Finish1-0RawMaterial-Paint-C4C4C4-7A7092AE-CDF8-D346-96A2-D792230A4B4E,,Assembly_2FlexDims1Fixed_Layer0D,,"Typical Coat (1/50in), Paint, Grey",,Thickness,0.02in,,Finish,1,,Finish1,0RawMaterial-Paint,,,C4C4C4,,,
