TYPENAME,,,,0DimWD,,,,,,,,,,,,,,,,,,,,,
,,,,Definition,,,,,,,,,,,,,,,,,,,,,
,,PropertyType,,PropertyName,,PropertyScope.Value,,,,,,,,,,,,,,,,,,,
PROPERTY,,STRING,,Name,,Preset.Name,,,,,,,,,,,,,,,,,,,
PROPERTY,,DIMENSION,,Width,,Preset.Width,,,,,,,,,,,,,,,,,,,
PROPERTY,,DIMENSION,,Depth,,Preset.Depth,,,,,,,,,,,,,,,,,,,
,,,,Presets,,,,,,1,4,8,0,0,11,5,0,0,11,11,0,0,13,13,9
TAGPATHS,DataType=ID,ID,DataType=TG_MyNode+CategoryPath,TG_MyNode+CategoryPath,DataType=Properties,Preset.Name,Node.Width,Node.Depth,DataType=TG_Parent Node+CategoryPath,2ModuleWDProfile --> Corrugated Plastic Sheet,2ModuleWDProfile --> Corrugated Steel Deck,2ModuleWDProfile --> Steel C-Channel,2ModuleWDProfile --> Steel C-H Channel,2ModuleWDProfile --> Steel Hat Channel,2ModuleWDProfile --> Steel Web Joist,2ModuleWDProfile --> Steel Z Channel,#REF!,2ModuleWDProfile --> Wood Lumber,2ModuleWDProfile --> Wood Web Joist,"2ModuleWDProfile --> Wood-Chord, Steel-Web Joist",2Gap2D --> Tile Gaps,2Gap2D --> Masonry Gaps,2ExtrudedProfile --> Beam/Column --> Concrete Rectangular,2ExtrudedProfile --> Beam/Column --> Stone Rectangular,2ExtrudedProfile --> Beam/Column --> Wood Rectangular
PRESET,,"0DimWD
4inW
6inD",,0DimWD,,4in x 6in,4in,6in,,,,,,,,,,,,,,,,,X
PRESET,,"0DimWD
6inW
1.5inD",,0DimWD,,6in x 1.5in,6in,1.5in,,,X,,,,,,,,,,,,,,
PRESET,,"0DimWD
6inW
2inD",,0DimWD,,6in x 2in,6in,2in,,,X,,,,,,,,,,,,,,
PRESET,,"0DimWD
6inW
3inD",,0DimWD,,6in x 3in,6in,3in,,,X,,,,,,,,,,,,,,
PRESET,,"0DimWD
6inW
4.5inD",,0DimWD,,6in x 4.5in,6in,4.5in,,,X,,,,,,,,,,,,,,
PRESET,,"0DimWD
6inW
6inD",,0DimWD,,6in x 6in,6in,6in,,,,,,,,,,,,,,,,X,X
PRESET,,"0DimWD
6inW
8inD",,0DimWD,,6in x 8in,6in,8in,,,,,,,,,,,,,,,X,X,X
PRESET,,"0DimWD
7inW
9inD",,0DimWD,,7in x 9in,7in,9in,,,,,,,,,,,,,,,X,X,X
PRESET,,"0DimWD
8inW
10inD",,0DimWD,,8in x 10in,8in,10in,,,,,,,,,,,,,,,X,X,X
PRESET,,"0DimWD
8inW
8inD",,0DimWD,,8in x 8in,8in,8in,,,,,,,,,,,,,,,X,X,X
,,,,,,,,,,,,,,,,,,,,,,,,,
