TAGPATHS,DataType=GUID,GUID,DataType=ID,ID,DataType=MyCategoryPath,TG_MyNode+CategoryPath,DataType=Properties,Part.Name,DataType=Mesh,Mesh,DataType=Material,AppliesToChannel,InnerMaterial,SurfaceMaterial,ColorTint,DataType=StartsInProject,x,DataType=InputPins,ChildMesh,ChildMaterial,DataType=MaterialChannels,AppliesToMaterialChannel,DataType=ParentCategoryPath,XXXXHardwareGroup_Cabinet_Door,XXXXHardwareGroup_Cabinet_Drawer,XXXXHardwareGroup_Door_Barn,XXXXHardwareGroup_Door_Folding,XXXXHardwareGroup_Door_Overhead,XXXXHardwareGroup_Door_Pivot,XXXXHardwareGroup_Door_Pocket,XXXXHardwareGroup_Door_Sliding,XXXXHardwareGroup_Door_Revolving,XXXXHardwareGroup_Door_Swing,XXXXHardwareGroup_RailingPanel_Glass,XXXXHardwareGroup_RailingPanel_Solid,XXXXHardwareGroup_Window_Awning,XXXXHardwareGroup_Window_Casement,XXXXHardwareGroup_Window_Double-Action,XXXXHardwareGroup_Window_Fixed,XXXXHardwareGroup_Window_Hopper,XXXXHardwareGroup_Window_Jalousie,Assembly_Rigged_Cabinet_Drawer,Assembly_Rigged_Cabinet_Overhead,Assembly_Rigged_Cabinet_Sliding,Assembly_Rigged_Cabinet_Swing,Assembly_Rigged_Door_Barn,Assembly_Rigged_Door_Folding,Assembly_Rigged_Door_Overhead,Assembly_Rigged_Door_Pivot,Assembly_Rigged_Door_Pocket,Assembly_Rigged_Door_Revolving,Assembly_Rigged_Door_Sliding,Assembly_Rigged_Door_Swing,Assembly_Rigged_FFESet,Assembly_Rigged_Window_Awning,Assembly_Rigged_Window_Casement,Assembly_Rigged_Window_Double-Action,Assembly_Rigged_Window_Fixed,Assembly_Rigged_Window_Hopper,Assembly_Rigged_Window_Hung,Assembly_Rigged_Window_Jalousie,Assembly_Rigged_Window_Sliding,Assembly_Rigged_HingeSet,Assembly_Rigged_Panel,Assembly_Rigged_CabinetFace,Assembly_Rigged_Door,Assembly_Rigged_Window,Assembly_Rigged_FFESet,
PRESET,,3AD8A072-D8F9-574C-AD95-422F325F0B9A,,Part_HandleStatic-0Mesh-Cabinet-Handle-Pull-02.Cabinet-Handle-Pull-02'-Finish1-0RawMaterial-Aluminum---331F20,,Part_HandleStatic,,"Pull Handle 2, Aluminum, Patrician Bronze",,0Mesh-Cabinet-Handle-Pull-02.Cabinet-Handle-Pull-02',,Finish1,0RawMaterial-Aluminum,-,331F20,,,,0Mesh-Cabinet-Handle-Pull-02.Cabinet-Handle-Pull-02',1Material_Metal_Aluminum-0RawMaterial-Aluminum-0Color_Metal_Aluminum-331F20-PatricianBronze,,Finish1,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,X,,,,,
PRESET,,BBD8EC39-8E81-EA4E-94C3-93DC6CA82E62,,Part_HandleStatic-0Mesh-Cabinet-Handle-Pull-03.Cabinet-Handle-Pull-03'-Finish1-0RawMaterial-Aluminum---EBECF0,,Part_HandleStatic,,"Pull Handle 3, Aluminum (Brushed), Light Gray",,0Mesh-Cabinet-Handle-Pull-03.Cabinet-Handle-Pull-03',,Finish1,0RawMaterial-Aluminum,-,EBECF0,,,,0Mesh-Cabinet-Handle-Pull-03.Cabinet-Handle-Pull-03',1Material_Metal_Aluminum-0RawMaterial-Aluminum (Brushed)-0Color_Metal_Aluminum-EBECF0-LightGray,,Finish1,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,X,,,,,
PRESET,,EF644611-EE10-1649-9BF0-8C3F66C23D38,,Part_HandleStatic-0Mesh-Cabinet-Handle-Pull-03.Cabinet-Handle-Pull-03'-Finish1-0RawMaterial-Aluminum---331F20,,Part_HandleStatic,,"Pull Handle 3, Aluminum, Patrician Bronze",,0Mesh-Cabinet-Handle-Pull-03.Cabinet-Handle-Pull-03',,Finish1,0RawMaterial-Aluminum,-,331F20,,,,0Mesh-Cabinet-Handle-Pull-03.Cabinet-Handle-Pull-03',1Material_Metal_Aluminum-0RawMaterial-Aluminum-0Color_Metal_Aluminum-331F20-PatricianBronze,,Finish1,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,X,,,,,
PRESET,,6131AA2A-8FA0-7A41-9028-C38341B2C5D1,,Part_HandleStatic-0Mesh-Cabinet-Handle-Pull-04.Cabinet-Handle-Pull-04'-Finish1-0RawMaterial-Aluminum---EBECF0,,Part_HandleStatic,,"Pull Handle 4, Aluminum (Brushed), Light Gray",,0Mesh-Cabinet-Handle-Pull-04.Cabinet-Handle-Pull-04',,Finish1,0RawMaterial-Aluminum,-,EBECF0,,,,0Mesh-Cabinet-Handle-Pull-04.Cabinet-Handle-Pull-04',1Material_Metal_Aluminum-0RawMaterial-Aluminum (Brushed)-0Color_Metal_Aluminum-EBECF0-LightGray,,Finish1,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,X,,,,,
PRESET,,56BF6FBA-CD5E-174C-B428-832A3C3364DD,,Part_HandleStatic-0Mesh-Cabinet-Handle-Pull-04.Cabinet-Handle-Pull-04'-Finish1-0RawMaterial-Aluminum---331F20,,Part_HandleStatic,,"Pull Handle 4, Aluminum, Patrician Bronze",,0Mesh-Cabinet-Handle-Pull-04.Cabinet-Handle-Pull-04',,Finish1,0RawMaterial-Aluminum,-,331F20,,,,0Mesh-Cabinet-Handle-Pull-04.Cabinet-Handle-Pull-04',1Material_Metal_Aluminum-0RawMaterial-Aluminum-0Color_Metal_Aluminum-331F20-PatricianBronze,,Finish1,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,X,,,,,
PRESET,,B5B6F422-7891-8042-BDC7-B0801A16DC79,,Part_HandleStatic-0Mesh-Cabinet-Handle-Pull-05.Cabinet-Handle-Pull-05'-Finish1-0RawMaterial-Aluminum---EBECF0,,Part_HandleStatic,,"Pull Handle 5, Aluminum (Brushed), Light Gray",,0Mesh-Cabinet-Handle-Pull-05.Cabinet-Handle-Pull-05',,Finish1,0RawMaterial-Aluminum,-,EBECF0,,,,0Mesh-Cabinet-Handle-Pull-05.Cabinet-Handle-Pull-05',1Material_Metal_Aluminum-0RawMaterial-Aluminum (Brushed)-0Color_Metal_Aluminum-EBECF0-LightGray,,Finish1,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,X,,,,,
PRESET,,04494D51-7765-0F48-873C-A56CBA5F7B12,,Part_HandleStatic-0Mesh-Cabinet-Handle-Pull-05.Cabinet-Handle-Pull-05'-Finish1-0RawMaterial-Aluminum---331F20,,Part_HandleStatic,,"Pull Handle 5, Aluminum, Patrician Bronze",,0Mesh-Cabinet-Handle-Pull-05.Cabinet-Handle-Pull-05',,Finish1,0RawMaterial-Aluminum,-,331F20,,,,0Mesh-Cabinet-Handle-Pull-05.Cabinet-Handle-Pull-05',1Material_Metal_Aluminum-0RawMaterial-Aluminum-0Color_Metal_Aluminum-331F20-PatricianBronze,,Finish1,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,X,,,,,
PRESET,,34286B8C-043C-0E48-9C84-BC87915FE21D,,Part_HandleStatic-0Mesh-Cabinet-Handle-Pull-06.Cabinet-Handle-Pull-06'-Finish1-0RawMaterial-Aluminum---EBECF0,,Part_HandleStatic,,"Pull Handle 6, Aluminum (Brushed), Light Gray",,0Mesh-Cabinet-Handle-Pull-06.Cabinet-Handle-Pull-06',,Finish1,0RawMaterial-Aluminum,-,EBECF0,,,,0Mesh-Cabinet-Handle-Pull-06.Cabinet-Handle-Pull-06',1Material_Metal_Aluminum-0RawMaterial-Aluminum (Brushed)-0Color_Metal_Aluminum-EBECF0-LightGray,,Finish1,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,X,,,,,
PRESET,,B0833FCD-C935-A441-A707-4AA71CFA8858,,Part_HandleStatic-0Mesh-Cabinet-Handle-Pull-06.Cabinet-Handle-Pull-06'-Finish1-0RawMaterial-Aluminum---331F20,,Part_HandleStatic,,"Pull Handle 6, Aluminum, Patrician Bronze",,0Mesh-Cabinet-Handle-Pull-06.Cabinet-Handle-Pull-06',,Finish1,0RawMaterial-Aluminum,-,331F20,,,,0Mesh-Cabinet-Handle-Pull-06.Cabinet-Handle-Pull-06',1Material_Metal_Aluminum-0RawMaterial-Aluminum-0Color_Metal_Aluminum-331F20-PatricianBronze,,Finish1,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,X,,,,,
PRESET,,2F1742FB-3BDD-8E42-B5D6-485EAAD00A05,,Part_HandleStatic-0Mesh-Cabinet-Handle-Pull-07.Cabinet-Handle-Pull-07'-Finish1-0RawMaterial-Aluminum---EBECF0,,Part_HandleStatic,,"Pull Handle 7, Aluminum (Brushed), Light Gray",,0Mesh-Cabinet-Handle-Pull-07.Cabinet-Handle-Pull-07',,Finish1,0RawMaterial-Aluminum,-,EBECF0,,,,0Mesh-Cabinet-Handle-Pull-07.Cabinet-Handle-Pull-07',1Material_Metal_Aluminum-0RawMaterial-Aluminum (Brushed)-0Color_Metal_Aluminum-EBECF0-LightGray,,Finish1,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,X,,,,,
