TYPENAME,2Part0Slice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,"TraditionalBell-1Material-->Metal-->Steel
0RawMaterial
Steel
0Color-->Metal-->Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",,,,Bell,,"1Material --> Metal --> Steel
0RawMaterial
Steel
0Color --> Metal --> Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",Traditional Bell,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
PRESET,"ModernBell-1Material-->Metal-->Steel
0RawMaterial
Steel
0Color-->Metal-->Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",,,,Bell,,"1Material --> Metal --> Steel
0RawMaterial
Steel
0Color --> Metal --> Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",Modern Bell,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
PRESET,"FoldingDoorCaster-1Material-->Metal-->Steel
0RawMaterial
Steel
0Color-->Metal-->Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",,,,Sliding Door Caster,,"1Material --> Metal --> Steel
0RawMaterial
Steel
0Color --> Metal --> Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",Folding Door Caster,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
PRESET,"FoldingDoorLock-1Material-->Metal-->Steel
0RawMaterial
Steel
0Color-->Metal-->Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",,,,Folding Door Lock,,"1Material --> Metal --> Steel
0RawMaterial
Steel
0Color --> Metal --> Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",Folding Door Lock,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,
PRESET,"TraditionalBarnDoorCaster-1Material-->Metal-->Steel
0RawMaterial
Steel
0Color-->Metal-->Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",,,,Barn Door Caster,,"1Material --> Metal --> Steel
0RawMaterial
Steel
0Color --> Metal --> Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",Traditional Barn Door Caster,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,
PRESET,"ModernBarnDoorCaster-1Material-->Metal-->Steel
0RawMaterial
Steel
0Color-->Metal-->Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",,,,Barn Door Caster,,"1Material --> Metal --> Steel
0RawMaterial
Steel
0Color --> Metal --> Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",Modern Barn Door Caster,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,
PRESET,"ModernWindowHinge-1Material-->Metal-->Steel
0RawMaterial
Steel
0Color-->Metal-->Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",,,,Hinge,,"1Material --> Metal --> Steel
0RawMaterial
Steel
0Color --> Metal --> Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",Modern Window Hinge,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,
PRESET,"ModernWindowHandle-1Material-->Metal-->Steel
0RawMaterial
Steel
0Color-->Metal-->Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",,,,Handle,,"1Material --> Metal --> Steel
0RawMaterial
Steel
0Color --> Metal --> Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",Modern Window Handle,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
PRESET,"ModernWindowLock-1Material-->Metal-->Steel
0RawMaterial
Steel
0Color-->Metal-->Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",,,,Lock,,"1Material --> Metal --> Steel
0RawMaterial
Steel
0Color --> Metal --> Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",Modern Window Lock,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
PRESET,"ModernCabinetHinge-1Material-->Metal-->Steel
0RawMaterial
Steel
0Color-->Metal-->Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",,,,Hinge,,"1Material --> Metal --> Steel
0RawMaterial
Steel
0Color --> Metal --> Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",Modern Cabinet Hinge,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,
PRESET,"ModernCabinetHandle-1Material-->Metal-->Steel
0RawMaterial
Steel
0Color-->Metal-->Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",,,,Handle,,"1Material --> Metal --> Steel
0RawMaterial
Steel
0Color --> Metal --> Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",Modern Cabinet Handle,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
PRESET,"ModernCabinetLock-1Material-->Metal-->Steel
0RawMaterial
Steel
0Color-->Metal-->Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",,,,Lock,,"1Material --> Metal --> Steel
0RawMaterial
Steel
0Color --> Metal --> Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",Modern Cabinet Lock,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
