TAGPATHS,DataType=ID,ID,DataType=TG_MyNode+CategoryPath,TG_MyNode+CategoryPath,DataType=Properties,Dimension.Name,Dimension.Width,Dimension.Length,DataType=TG_Parent Node+CategoryPath,2ModuleLWT --> Board/Panel --> Cement,2ModuleLWT --> Board/Panel --> Cementitious Wood Fiber,2ModuleLWT --> Board/Panel --> Foam,2ModuleLWT --> Board/Panel --> Fiber Cement,2ModuleLWT --> Board/Panel --> Gypsum,2ModuleLWT --> Board/Panel --> MDF (Medium-Density Fiberboard),2ModuleLWT --> Board/Panel --> Metal,2ModuleLWT --> Board/Panel --> OSB (Oriented Strand Board),2ModuleLWT --> Board/Panel --> Particle Board,2ModuleLWT --> Board/Panel --> Plywood,2ModuleLWT --> Plank --> Engineered Wood,2ModuleLWT --> Plank --> Wood,2ModuleLWT --> Tile --> Acoustic Ceiling Tile,2ModuleLWT --> Tile --> Brick Veneer,2ModuleLWT --> Tile --> Carpet,2ModuleLWT --> Tile --> Clay,2ModuleLWT --> Tile --> Cork,2ModuleLWT --> Tile --> Glass,2ModuleLWT --> Tile --> Laminate,2ModuleLWT --> Tile --> Luxury Vinyl,2ModuleLWT --> Tile --> Porcelain,2ModuleLWT --> Tile --> Stone,2ModuleLWT --> Tile --> Vinyl Composite,2ModuleLWT --> Shingle --> Asphalt,2ModuleLWT --> Shingle --> Clay,2ModuleLWT --> Shingle --> Metal,2ModuleLWT --> Shingle --> Stone,2ModuleLWT --> Shingle --> Wood
PRESET,,0DimLW-32in-16in,,0DimLW,,16in x 32in,16in,32in,,,,,,,,X,,,,,,,,X,,X,,X,X,,X,X,,,,,
PRESET,,0DimLW-48in-16in,,0DimLW,,16in x 48in,16in,48in,,,,,,,,X,,,,,,,,X,,X,,X,X,,X,X,,,,,
PRESET,,0DimLW-18in-18in,,0DimLW,,18in x 18in,18in,18in,,,,,,,,X,,,,,,,,X,,X,,X,X,,X,X,,,,,
PRESET,,0DimLW-24in-18in,,0DimLW,,18in x 24in,18in,24in,,,,,,,,X,,,,,,,,X,,,,X,X,,X,X,,,,,
PRESET,,0DimLW-36in-18in,,0DimLW,,18in x 36in,18in,36in,,,,,,,,X,,,,,,,,X,,,,X,X,,X,X,,,,,
PRESET,,0DimLW-20in-20in,,0DimLW,,20in x 20in,20in,20in,,,,,,,,X,,,,,,,,,,X,,X,X,,X,X,,,,,
PRESET,,0DimLW-24in-20in,,0DimLW,,20in x 24in,20in,24in,,,,,,,,X,,,,,,,,,,,,X,X,,X,X,,,,,
PRESET,,0DimLW-30in-20in,,0DimLW,,20in x 30in,20in,30in,,,,,,,,X,,,,,,,,,,,,X,X,,X,X,,,,,
PRESET,,0DimLW-24in-24in,,0DimLW,,24in x 24in,24in,24in,,,X,X,X,X,X,X,X,X,X,,,X,,X,,X,,X,X,,X,X,,,,,
PRESET,,0DimLW-30in-24in,,0DimLW,,24in x 30in,24in,30in,,,X,,,,,X,,,,,,X,,,,,,X,X,,X,X,,,,,
PRESET,,0DimLW-36in-24in,,0DimLW,,24in x 36in,24in,36in,,,X,,,,,X,,,,,,X,,X,,,,X,X,,X,X,,,,,
PRESET,,0DimLW-48in-24in,,0DimLW,,24in x 48in,24in,48in,,,X,X,X,X,X,X,X,X,X,,,X,,X,,,,X,X,,X,X,,,,,
PRESET,,0DimLW-96in-24in,,0DimLW,,24in x 96in,24in,96in,,,X,X,X,X,X,X,X,X,X,,,X,,X,,,,X,X,,X,X,,,,,
PRESET,,0DimLW-30in-30in,,0DimLW,,30in x 30in,30in,30in,,,X,,,,,X,,,,,,X,,,,,,,,,,,,,,,
PRESET,,0DimLW-32in-32in,,0DimLW,,32in x 32in,32in,32in,,,X,,,,,X,,,,,,X,,,,,,,,,,,,,,,
PRESET,,0DimLW-64in-32in,,0DimLW,,32in x 64in,32in,64in,,,X,,,,,X,,,,,,X,,,,,,,,,,,,,,,
PRESET,,0DimLW-96in-32in,,0DimLW,,32in x 96in,32in,96in,,,X,,,,,X,,,,,,X,,,,,,,,,,,,,,,
PRESET,,0DimLW-36in-36in,,0DimLW,,36in x 36in,36in,36in,,X,X,X,X,X,X,X,X,X,X,,,X,,,,,,,,,,,,,,,
PRESET,,0DimLW-48in-36in,,0DimLW,,36in x 48in,36in,48in,,X,X,,,,,X,,,,,,X,,,,,,,,,,,,,,,
PRESET,,0DimLW-60in-36in,,0DimLW,,36in x 60in,36in,60in,,X,X,,,,,X,,,,,,X,,,,,,,,,,,,,,,
PRESET,,0DimLW-72in-36in,,0DimLW,,36in x 72in,36in,72in,,X,X,,,,,X,,,,,,X,,,,,,,,,,,,,,,
PRESET,,0DimLW-96in-36in,,0DimLW,,36in x 96in,36in,96in,,X,X,,,,,X,,,,,,X,,,,,,,,,,,,,,,
PRESET,,0DimLW-48in-48in,,0DimLW,,48in x 48in,48in,48in,,X,X,X,X,X,X,X,X,X,X,,,X,,,,,,,,,,,,,,,
PRESET,,0DimLW-96in-48in,,0DimLW,,48in x 96in,48in,96in,,X,X,X,X,X,X,X,X,X,X,,,X,,,,,,,,,,,,,,,
