TYPENAME,,Assembly_Rigged,,Assembly,,,,,,,,,,,,,,,,,,,,,,,
,,Definition,,,,,,,,,,,,,,,,,,,,,,,,,
,,PropertyType,,PropertyName,,,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,DisplayText,,Name,,Assembly.Name,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,Dimension,,,,Assembly.IconDimX,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,Dimension,,,,Assembly.IconDimZ,,,,,,,,,,,,,,,,,,,,,
,,InputExtensibility,,InputPreset,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Presets,,,,,,,,,,,,,,,,,,,,,,,,,
TAGPATHS,DataType=ID,ID,DataType=TG_MyNode+CategoryPath,TG_MyNode+CategoryPath,DataType=Properties,Assembly.Name,Assembly.IconDimX,Assembly.IconDimZ,DataType=StartsInProject,X,DataType=Slots,SlotConfig,SlotName,PartPreset,DataType=FinalPartTransformAtSlot,LocationX,LocationY,LocationZ,SizeX,SizeY,SizeZ,RotationX,RotationY,RotationZ,FlipX,FlipY,FlipZ
PRESET,,"Assembly_Rigged_Panel
1SlotConfig_Panel
0Slot-Panel
0Slot-CasterBarnLeft
0Slot-CasterBarnRight
0Slot-HandleUpperFixedXZ
0Slot-HandleLowerFixedXZ
0Slot-HandleXMidWidthYOutsideZMidHeight
0Slot-HandleXMidStileYOutsideZMidTopRail
0Slot-HandleXMidStileYOutsideZMidHeight
0Slot-HandleXMidStileYOutsideZMidBottomRail
0Slot-Panel
Part_Panel-0Mesh-Cabinet-Panel-03.Cabinet-Panel-03'-Finish1-0RawMaterial-Plywood-0RawMaterial-Paint-ABABAB
0Slot-HandleXMidWidthYOutsideZMidHeight
Part_HandleStatic-0Mesh-Cabinet-Handle-Pull-09.Cabinet-Handle-Pull-09'-Finish1-0RawMaterial-Aluminum---EBECF0",,Assembly_Rigged_Panel,,"Cabinet Panel With Center Handle, Gray Paint",24,36,,X,,"1SlotConfig_Panel
0Slot-Panel
0Slot-CasterBarnLeft
0Slot-CasterBarnRight
0Slot-HandleUpperFixedXZ
0Slot-HandleLowerFixedXZ
0Slot-HandleXMidWidthYOutsideZMidHeight
0Slot-HandleXMidStileYOutsideZMidTopRail
0Slot-HandleXMidStileYOutsideZMidHeight
0Slot-HandleXMidStileYOutsideZMidBottomRail",0Slot-Panel,Part_Panel-0Mesh-Cabinet-Panel-03.Cabinet-Panel-03'-Finish1-0RawMaterial-Plywood-0RawMaterial-Paint-ABABAB,,-,-,-,-,-,-,-,-,-,-,-,-
PRESET,,,,,,,,,,,,,0Slot-HandleXMidWidthYOutsideZMidHeight,Part_HandleStatic-0Mesh-Cabinet-Handle-Pull-09.Cabinet-Handle-Pull-09'-Finish1-0RawMaterial-Aluminum---EBECF0,,-,-,-,-,-,-,-,-,-,-,-,-
PRESET,,"Assembly_Rigged_Panel
1SlotConfig_Panel
0Slot-Panel
0Slot-CasterBarnLeft
0Slot-CasterBarnRight
0Slot-HandleXBacksetDistanceXYInsideZHandleHeight
0Slot-HandleXBacksetDistanceXYOutsideZHandleHeight
0Slot-HandleXEdgeYInsideZHandleHeight
0Slot-HandleXEdgeYOutsideZHandleHeight
0Slot-Deadbolt
0Slot-SurfaceLockLower
0Slot-SurfaceLockUpper
0Slot-PeepholeLower
0Slot-PeepholeUpper
0Slot-Knocker
0Slot-MailSlot
0Slot-Panel
Part_Panel-0Mesh-Door-Panel-Swing-01.Door-Panel-Swing-01'-Finish1-0RawMaterial-Walnut---FFFFFF
0Slot-CasterBarnLeft
Part_Caster-0Mesh-Door-Caster-Barn-01.Door-Caster-Barn-01'-Finish1-0RawMaterial-Aluminum---FFFFFF
0Slot-CasterBarnRight
Part_Caster-0Mesh-Door-Caster-Barn-01.Door-Caster-Barn-01'-Finish1-0RawMaterial-Aluminum---FFFFFF
0Slot-HandleXEdgeYInsideZHandleHeight
Part_HandleStatic-0Mesh-Door-Handle-LateralPull-02.Door-Handle-LateralPull-02'-Finish1-0RawMaterial-Aluminum---FFFFFF
0Slot-HandleXEdgeYOutsideZHandleHeight
Part_HandleStatic-0Mesh-Door-Handle-LateralPull-02.Door-Handle-LateralPull-02'-Finish1-0RawMaterial-Aluminum---FFFFFF",,Assembly_Rigged_Panel,,"Barn Door Panel 1, Walnut",36,80,,X,,"1SlotConfig_Panel
0Slot-Panel
0Slot-CasterBarnLeft
0Slot-CasterBarnRight
0Slot-HandleXBacksetDistanceXYInsideZHandleHeight
0Slot-HandleXBacksetDistanceXYOutsideZHandleHeight
0Slot-HandleXEdgeYInsideZHandleHeight
0Slot-HandleXEdgeYOutsideZHandleHeight
0Slot-Deadbolt
0Slot-SurfaceLockLower
0Slot-SurfaceLockUpper
0Slot-PeepholeLower
0Slot-PeepholeUpper
0Slot-Knocker
0Slot-MailSlot",0Slot-Panel,Part_Panel-0Mesh-Door-Panel-Swing-01.Door-Panel-Swing-01'-Finish1-0RawMaterial-Walnut---FFFFFF,,-,-,-,-,-,-,-,-,-,-,-,-
PRESET,,,,,,,,,,,,,0Slot-CasterBarnLeft,Part_Caster-0Mesh-Door-Caster-Barn-01.Door-Caster-Barn-01'-Finish1-0RawMaterial-Aluminum---FFFFFF,,-,-,-,-,-,-,-,-,-,-,-,-
PRESET,,,,,,,,,,,,,0Slot-CasterBarnRight,Part_Caster-0Mesh-Door-Caster-Barn-01.Door-Caster-Barn-01'-Finish1-0RawMaterial-Aluminum---FFFFFF,,-,-,-,-,-,-,-,-,-,-,-,-
PRESET,,,,,,,,,,,,,0Slot-HandleXEdgeYInsideZHandleHeight,Part_HandleStatic-0Mesh-Door-Handle-LateralPull-02.Door-Handle-LateralPull-02'-Finish1-0RawMaterial-Aluminum---FFFFFF,,-,-,-,-,-,-,-,-,-,-,-,-
PRESET,,,,,,,,,,,,,0Slot-HandleXEdgeYOutsideZHandleHeight,Part_HandleStatic-0Mesh-Door-Handle-LateralPull-02.Door-Handle-LateralPull-02'-Finish1-0RawMaterial-Aluminum---FFFFFF,,-,-,-,-,-,-,-,-,-,-,-,-
PRESET,,"Assembly_Rigged_Panel
1SlotConfig_Panel
0Slot-Panel
0Slot-CasterBarnLeft
0Slot-CasterBarnRight
0Slot-HandleXBacksetDistanceXYInsideZHandleHeight
0Slot-HandleXBacksetDistanceXYOutsideZHandleHeight
0Slot-HandleXEdgeYInsideZHandleHeight
0Slot-HandleXEdgeYOutsideZHandleHeight
0Slot-Deadbolt
0Slot-SurfaceLockLower
0Slot-SurfaceLockUpper
0Slot-PeepholeLower
0Slot-PeepholeUpper
0Slot-Knocker
0Slot-MailSlot
0Slot-Panel
Part_Panel-0Mesh-Door-Panel-Swing-03.Door-Panel-Swing-03'-Finish1-0RawMaterial-Ash---FFFFFF
0Slot-CasterBarnLeft
Part_Caster-0Mesh-Door-Caster-Barn-01.Door-Caster-Barn-01'-Finish1-0RawMaterial-Aluminum---331F20
0Slot-CasterBarnRight
Part_Caster-0Mesh-Door-Caster-Barn-01.Door-Caster-Barn-01'-Finish1-0RawMaterial-Aluminum---331F20
0Slot-HandleXEdgeYInsideZHandleHeight
Part_HandleStatic-0Mesh-Door-Handle-LateralPull-02.Door-Handle-LateralPull-02'-Finish1-0RawMaterial-Aluminum---331F20
0Slot-HandleXEdgeYOutsideZHandleHeight
Part_HandleStatic-0Mesh-Door-Handle-LateralPull-02.Door-Handle-LateralPull-02'-Finish1-0RawMaterial-Aluminum---331F20",,Assembly_Rigged_Panel,,"Barn Door Panel 2, Ash",36,80,,X,,"1SlotConfig_Panel
0Slot-Panel
0Slot-CasterBarnLeft
0Slot-CasterBarnRight
0Slot-HandleXBacksetDistanceXYInsideZHandleHeight
0Slot-HandleXBacksetDistanceXYOutsideZHandleHeight
0Slot-HandleXEdgeYInsideZHandleHeight
0Slot-HandleXEdgeYOutsideZHandleHeight
0Slot-Deadbolt
0Slot-SurfaceLockLower
0Slot-SurfaceLockUpper
0Slot-PeepholeLower
0Slot-PeepholeUpper
0Slot-Knocker
0Slot-MailSlot",0Slot-Panel,Part_Panel-0Mesh-Door-Panel-Swing-03.Door-Panel-Swing-03'-Finish1-0RawMaterial-Ash---FFFFFF,,-,-,-,-,-,-,-,-,-,-,-,-
PRESET,,,,,,,,,,,,,0Slot-CasterBarnLeft,Part_Caster-0Mesh-Door-Caster-Barn-01.Door-Caster-Barn-01'-Finish1-0RawMaterial-Aluminum---331F20,,-,-,-,-,-,-,-,-,-,-,-,-
PRESET,,,,,,,,,,,,,0Slot-CasterBarnRight,Part_Caster-0Mesh-Door-Caster-Barn-01.Door-Caster-Barn-01'-Finish1-0RawMaterial-Aluminum---331F20,,-,-,-,-,-,-,-,-,-,-,-,-
PRESET,,,,,,,,,,,,,0Slot-HandleXEdgeYInsideZHandleHeight,Part_HandleStatic-0Mesh-Door-Handle-LateralPull-02.Door-Handle-LateralPull-02'-Finish1-0RawMaterial-Aluminum---331F20,,-,-,-,-,-,-,-,-,-,-,-,-
PRESET,,,,,,,,,,,,,0Slot-HandleXEdgeYOutsideZHandleHeight,Part_HandleStatic-0Mesh-Door-Handle-LateralPull-02.Door-Handle-LateralPull-02'-Finish1-0RawMaterial-Aluminum---331F20,,-,-,-,-,-,-,-,-,-,-,-,-
PRESET,,"Assembly_Rigged_Panel
1SlotConfig_Panel
0Slot-Panel
0Slot-CasterBarnLeft
0Slot-CasterBarnRight
0Slot-HandleXBacksetDistanceXYInsideZHandleHeight
0Slot-HandleXBacksetDistanceXYOutsideZHandleHeight
0Slot-HandleXEdgeYInsideZHandleHeight
0Slot-HandleXEdgeYOutsideZHandleHeight
0Slot-Deadbolt
0Slot-SurfaceLockLower
0Slot-SurfaceLockUpper
0Slot-PeepholeLower
0Slot-PeepholeUpper
0Slot-Knocker
0Slot-MailSlot
0Slot-Panel
Part_Panel-0Mesh-Door-Panel-Swing-01.Door-Panel-Swing-01'-Finish1-0RawMaterial-Walnut---FFFFFF
0Slot-HandleXEdgeYInsideZHandleHeight
Part_HandleStatic-0Mesh-Door-Handle-LateralPull-01.Door-Handle-LateralPull-01'-Finish1-0RawMaterial-Aluminum---FFFFFF
0Slot-HandleXEdgeYOutsideZHandleHeight
Part_HandleStatic-0Mesh-Door-Handle-LateralPull-01.Door-Handle-LateralPull-01'-Finish1-0RawMaterial-Aluminum---FFFFFF",,Assembly_Rigged_Panel,,"Pocket Door Panel 1, Walnut",36,80,,X,,"1SlotConfig_Panel
0Slot-Panel
0Slot-CasterBarnLeft
0Slot-CasterBarnRight
0Slot-HandleXBacksetDistanceXYInsideZHandleHeight
0Slot-HandleXBacksetDistanceXYOutsideZHandleHeight
0Slot-HandleXEdgeYInsideZHandleHeight
0Slot-HandleXEdgeYOutsideZHandleHeight
0Slot-Deadbolt
0Slot-SurfaceLockLower
0Slot-SurfaceLockUpper
0Slot-PeepholeLower
0Slot-PeepholeUpper
0Slot-Knocker
0Slot-MailSlot",0Slot-Panel,Part_Panel-0Mesh-Door-Panel-Swing-01.Door-Panel-Swing-01'-Finish1-0RawMaterial-Walnut---FFFFFF,,-,-,-,-,-,-,-,-,-,-,-,-
PRESET,,,,,,,,,,,,,0Slot-HandleXEdgeYInsideZHandleHeight,Part_HandleStatic-0Mesh-Door-Handle-LateralPull-01.Door-Handle-LateralPull-01'-Finish1-0RawMaterial-Aluminum---FFFFFF,,-,-,-,-,-,-,-,-,-,-,-,-
PRESET,,,,,,,,,,,,,0Slot-HandleXEdgeYOutsideZHandleHeight,Part_HandleStatic-0Mesh-Door-Handle-LateralPull-01.Door-Handle-LateralPull-01'-Finish1-0RawMaterial-Aluminum---FFFFFF,,-,-,-,-,-,-,-,-,-,-,-,-
