TYPENAME,,PartNonMesh,,Module,,,,,,,,,,,,,,,,
,,Definition,,,,,,,,,,,,,,,,,,
,,PropertyType,,PropertyName,,PropertyScope.Value,,,,,,,,,,,,,,
PROPERTY,,DisplayText,,Name,,Module.Name,,,,,,,,,,,,,,
,,Presets,,,,,,,,,,,,,,,,,,
TAGPATHS,DataType=GUID,GUID,DataType=ID,ID,DataType=MyCategoryPath,TG_MyNode+CategoryPath,DataType=Properties,Module.Name,DataType=Dimensions,Dimension,Value,DataType=Profile,Module.Profile,DataType=Material,AppliesToChannel,InnerMaterial,SurfaceMaterial,ColorTintVariation,ColorTint,
,,,,,,,,,,IconLength,64in,,,,,,,,,
,,,,,,,,,,IconHeight,48in,,,,,,,,,
,,,,Assembly_2FlexDims1Fixed_PlanarPattern-Thickness-30cm-Finish1-0RawMaterial-Rammed Earth-FFFFFF,,Assembly_2FlexDims1Fixed_PlanarPattern,,"30cm, Rammed Earth",,Thickness,30cm,,,,Finish1,0RawMaterial-Rammed Earth,,0,FFFFFF,
,,,,,,,,,,IconLength,64in,,,,,,,,,
,,,,,,,,,,IconHeight,48in,,,,,,,,,
,,,,Assembly_2FlexDims1Fixed_PlanarPattern-Thickness-1in-Finish1-0RawMaterial-Terrazzo (Beige)-FFFFFF,,Assembly_2FlexDims1Fixed_PlanarPattern,,"1in, Terrazzo (Beige)",,Thickness,1in,,,,Finish1,0RawMaterial-Terrazzo (Beige),,0,FFFFFF,
,,,,,,,,,,IconLength,64in,,,,,,,,,
,,,,,,,,,,IconHeight,48in,,,,,,,,,
,,,,Assembly_2FlexDims1Fixed_PlanarPattern-Thickness-1.25in-Finish1-0RawMaterial-Granite (Black 1)-FFFFFF,,Assembly_2FlexDims1Fixed_PlanarPattern,,"1-1/4in, Granite (Black 1)",,Thickness,1.25in,,,,Finish1,0RawMaterial-Granite (Black 1),,0,FFFFFF,
,,,,,,,,,,IconLength,64in,,,,,,,,,
,,,,,,,,,,IconHeight,48in,,,,,,,,,
,,,,Assembly_2FlexDims1Fixed_PlanarPattern-Thickness-2in-Finish1-0RawMaterial-Granite (Black 2)-FFFFFF,,Assembly_2FlexDims1Fixed_PlanarPattern,,"2in, Granite (Black 2)",,Thickness,2in,,,,Finish1,0RawMaterial-Granite (Black 2),,0,FFFFFF,
,,,,,,,,,,IconLength,64in,,,,,,,,,
,,,,,,,,,,IconHeight,48in,,,,,,,,,
,,,,Assembly_2FlexDims1Fixed_PlanarPattern-Thickness-2in-Finish1-0RawMaterial-Marble (Black 1)-FFFFFF,,Assembly_2FlexDims1Fixed_PlanarPattern,,"2in, Marble (Black 1)",,Thickness,2in,,,,Finish1,0RawMaterial-Marble (Black 1),,0,FFFFFF,
,,,,,,,,,,IconLength,64in,,,,,,,,,
,,,,,,,,,,IconHeight,48in,,,,,,,,,
