TYPENAME,,PartNonMesh,,Assembly,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PropertyType,,PropertyName,,PropertyScope.Value,,,,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,DisplayText,,Name,,Assembly.Name,,,,,,,,,,,,,,,,,,,,,,,,
,,InputExtensibility,,InputPreset,,,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildMaterial,,,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildDimension,,,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildDimWD,,,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildDimLW,,,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildDimThk,,,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildDimLWH,,,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildProfile,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Presets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAGPATHS,DataType=ID,ID,DataType=TG_MyNode+CategoryPath,TG_MyNode+CategoryPath,DataType=Properties,Assembly.Name,DataType=StartsInProject,x,DataType=Dimensions,Dimension,Value,UI Group,DataType=Profile,Module.Profile,DataType=Material,AppliesToChannel,InnerMaterial,SurfaceMaterial,ColorTintVariation,ColorTint,DataType=InputPins,ChildMaterial,ChildDimension,ChildDimWD,ChildDimLW,ChildDimThk,ChildDimLWH,ChildProfile,DataType=TG_Parent Node+CategoryPath,TG_ParentNode+CategoryPath
PRESET,,"Part_ExtrudedProfile_BeamColumn_SteelWT-Width-12.9in-Depth-11.8in-WebThickness-0.505in-FlangeThickness-0.395in-0Profile-Tee, WT-Finish1-0RawMaterial-Steel---FFFFFF",,Part_ExtrudedProfile_BeamColumn_SteelWT,,"WT12X27.5, Steel, Untinted",,X,,Width,12.9in,Major,,"0Profile-Tee, WT",,Finish1,0RawMaterial-Steel,-,0,FFFFFF,,1Material_Metal_Steel-0RawMaterial-Steel-0Color_Metal_Steel-FFFFFF-Untinted,0DimWDWtFt_TSteel-12.9inW-11.8inD-0.505inWt-0.395inFt,,,,,"0Profile-Tee, WT",,
PRESET,,,,,,,,,,Depth,11.8in,Major,,,,,,,,,,,,,,,,,,
PRESET,,,,,,,,,,WebThickness,0.505in,Minor,,,,,,,,,,,,,,,,,,
PRESET,,,,,,,,,,FlangeThickness,0.395in,Minor,,,,,,,,,,,,,,,,,,
PRESET,,,,,,,,,,IconLength,48in,Preview,,,,,,,,,,,,,,,,,,
PRESET,,Part_ExtrudedProfile_BeamColumn_StoneRectangular-Width-12in-Depth-12in-0Profile-Plate Section-Finish1-0RawMaterial-Basalt---FFFFFF,,Part_ExtrudedProfile_BeamColumn_StoneRectangular,,"12in x 12in, Basalt, White",,X,,Width,12in,Major,,0Profile-Plate Section,,Finish1,0RawMaterial-Basalt,-,0.05,FFFFFF,,1Material_Stone_Basalt-0RawMaterial-Basalt-0Color_Abstract-FFFFFF-White,0DimWD-12inW-12inD,,,,,0Profile-Plate Section,,
PRESET,,,,,,,,,,Depth,12in,Major,,,,,,,,,,,,,,,,,,
PRESET,,,,,,,,,,IconLength,48in,Preview,,,,,,,,,,,,,,,,,,
PRESET,,Part_ExtrudedProfile_BeamColumn_StoneRound-Diameter-12in-0Profile-Tube Steel-Finish1-0RawMaterial-Granite (Grey 1)---FFFFFF,,Part_ExtrudedProfile_BeamColumn_StoneRound,,"12in, Granite (Black 1), White",,X,,Diameter,12in,Major,,0Profile-Tube Steel,,Finish1,0RawMaterial-Granite (Grey 1),-,0.05,FFFFFF,,1Material_Stone_Granite-0RawMaterial-Granite (Black 1)-0Color_Abstract-FFFFFF-White,0DimDi-12in,,,,,0Profile-Tube Steel,,
PRESET,,,,,,,,,,IconLength,48in,Preview,,,,,,,,,,,,,,,,,,
