TYPENAME,,0Color,,Color,,,,
,,Definition,,,,,,
,,PropertyType,,PropertyName,,PropertyScope.Value,,
PROPERTY,,DisplayText,,Name,,Color.Name,,
PROPERTY,,HexValue,,,,Color.HEXValue,,
,,Presets,,,,,,
TAGPATHS,DataType=ID,ID,DataType=MyCategoryPath,TG_MyNode+CategoryPath,DataType=Properties,Color.Name,Color.HEXValue,
PRESET,,0Color_Aggregates_Grout-B6B7B2-CoolGrey,,0Color_Aggregates_Grout,,Cool Grey,B6B7B2,
PRESET,,0Color_Aggregates_Grout-6B6A66-DarkGrey,,0Color_Aggregates_Grout,,Dark Grey,6B6A66,
PRESET,,0Color_Aggregates_Grout-4D5940-Green,,0Color_Aggregates_Grout,,Green,4D5940,
PRESET,,0Color_Aggregates_Grout-56758A-Blue,,0Color_Aggregates_Grout,,Blue,56758A,
PRESET,,0Color_Aggregates_Gypsum-D6D7D1-Natural,,0Color_Aggregates_Gypsum,,Natural,D6D7D1,
PRESET,,0Color_Aggregates_Gypsum-E5B496-Salmon,,0Color_Aggregates_Gypsum,,Salmon,E5B496,
PRESET,,0Color_Aggregates_Gypsum-9FC4B2-Green,,0Color_Aggregates_Gypsum,,Green,9FC4B2,
PRESET,,0Color_Aggregates_Gypsum-DFD3BE-Beige,,0Color_Aggregates_Gypsum,,Beige,DFD3BE,
PRESET,,0Color_Aggregates_Mortar-C6C6C6-Natural,,0Color_Aggregates_Mortar,,Natural,C6C6C6,
PRESET,,0Color_Aggregates_Mortar-C6A989-Buff,,0Color_Aggregates_Mortar,,Buff,C6A989,
PRESET,,0Color_Aggregates_Mortar-E5D5C5-AntiqueWhite,,0Color_Aggregates_Mortar,,Antique White,E5D5C5,
PRESET,,0Color_Aggregates_Mortar-888280-DustyGray,,0Color_Aggregates_Mortar,,Dusty Gray,888280,
PRESET,,0Color_Aggregates_Mortar-696971-Black,,0Color_Aggregates_Mortar,,Black,696971,
PRESET,,0Color_Aggregates_Mortar-E3DEDB-White,,0Color_Aggregates_Mortar,,White,E3DEDB,
PRESET,,0Color_Aggregates_Mortar-BC9791-Burgundy,,0Color_Aggregates_Mortar,,Burgundy,BC9791,
PRESET,,0Color_Aggregates_Mortar-9B8075-DarkBrown,,0Color_Aggregates_Mortar,,Dark Brown,9B8075,
PRESET,,0Color_Aggregates_Rammed Earth-FFFFFF-Untinted,,0Color_Aggregates_Rammed Earth,,Untinted,FFFFFF,
PRESET,,0Color_Aggregates_Rammed Earth-CCCCCC-Dark,,0Color_Aggregates_Rammed Earth,,Dark,CCCCCC,
PRESET,,0Color_Aggregates_Sand-FFFFFF-Untinted,,0Color_Aggregates_Sand,,Untinted,FFFFFF,
PRESET,,0Color_Aggregates_Sand-CCCCCC-Dark,,0Color_Aggregates_Sand,,Dark,CCCCCC,
PRESET,,0Color_Aggregates_Terrazzo-FFFFFF-Untinted,,0Color_Aggregates_Terrazzo,,Untinted,FFFFFF,
PRESET,,0Color_Aggregates_Terrazzo-CCCCCC-Dark,,0Color_Aggregates_Terrazzo,,Dark,CCCCCC,
PRESET,,0Color_Fabric and Upholstery_Carpet-E9EAE6-White,,0Color_Fabric and Upholstery_Carpet,,White,E9EAE6,
PRESET,,0Color_Fabric and Upholstery_Carpet-D0C6BD-Cream1,,0Color_Fabric and Upholstery_Carpet,,Cream 1,D0C6BD,
PRESET,,0Color_Fabric and Upholstery_Carpet-BF945F-Saddle,,0Color_Fabric and Upholstery_Carpet,,Saddle,BF945F,
PRESET,,0Color_Fabric and Upholstery_Carpet-A99978-Parchment,,0Color_Fabric and Upholstery_Carpet,,Parchment,A99978,
PRESET,,0Color_Fabric and Upholstery_Carpet-88543F-Copper,,0Color_Fabric and Upholstery_Carpet,,Copper,88543F,
